"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7093","Add different products to basket, verify them on the checkout page, and fill in checkout details","SweetShop Basket and Checkout Tests","Tue Feb 04 17:39:18 GMT 2025","passed","Tue Feb 04 17:39:25 GMT 2025","","","",""
"","9958","Add different products to basket and verify them on the checkout page, switch delivery to standard shipping","SweetShop Basket and Checkout Tests","Tue Feb 04 17:39:08 GMT 2025","failed","Tue Feb 04 17:39:18 GMT 2025","","","",""
